Rank,Overall Acc,Model,Model Link,Total Cost ($),Latency Mean (s),Latency Standard Deviation (s),Latency 95th Percentile (s),Non-Live AST Acc,Non-Live Simple AST,Non-Live Multiple AST,Non-Live Parallel AST,Non-Live Parallel Multiple AST,Live Acc,Live Simple AST,Live Multiple AST,Live Parallel AST,Live Parallel Multiple AST,Multi Turn Acc,Multi Turn Base,Multi Turn Miss Func,Multi Turn Miss Param,Multi Turn Long Context,Web Search Acc,Web Search Base,Web Search No Snippet,Memory Acc,Memory KV,Memory Vector,Memory Recursive Summarization,Relevance Detection,Irrelevance Detection,Format Sensitivity Max Delta,Format Sensitivity Standard Deviation,Organization,License
125,54.54%,Gemma-4-12B-it(FC) LoRA ckpt240-5epoch-zhtw-v6-6144-no-cot-A-method-2-1-2-64-128-256-lr1e-6,self,N/A,N/A,N/A,N/A,85.79%,77.67%,93.50%,86.00%,86.00%,79.94%,82.56%,79.58%,81.25%,66.67%,23.12%,35.00%,9.50%,19.00%,29.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,60.74%,N/A,N/A,Google,gemma-terms-of-use
126,54.53%,Gemma-4-12B-it(FC) LoRA ckpt280-5epoch-zhtw-v6-10240-no-cot-A-method-2-1-2-apigen-parallel-64-128-256-lr1e-6,self,N/A,N/A,N/A,N/A,86.23%,77.42%,93.50%,87.50%,86.50%,79.94%,82.95%,79.49%,75.00%,70.83%,23.00%,36.50%,8.00%,19.00%,28.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,60.47%,N/A,N/A,Google,gemma-terms-of-use
127,54.52%,Gemma-4-12B-it(FC) LoRA ckpt480-5epoch-zhtw-v6-10240-no-cot-A-method-2-1-2-apigen-parallel-64-128-256-lr1e-6,self,N/A,N/A,N/A,N/A,85.98%,77.42%,93.50%,86.50%,86.50%,79.50%,82.56%,78.92%,81.25%,70.83%,22.50%,35.00%,6.00%,19.00%,30.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,62.11%,N/A,N/A,Google,gemma-terms-of-use
128,54.49%,Gemma-4-12B-it(FC) LoRA ckpt360-5epoch-zhtw-v6-6144-no-cot-A-method-2-1-2-parallel-l20p-64-128-256-lr1e-6,self,N/A,N/A,N/A,N/A,86.21%,77.83%,93.50%,87.50%,86.00%,80.09%,82.95%,79.68%,81.25%,66.67%,22.75%,34.00%,9.50%,20.00%,27.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,60.63%,N/A,N/A,Google,gemma-terms-of-use
129,54.44%,Gemma-4-12B-it(FC) LoRA ckpt440-5epoch-zhtw-v6-6144-no-cot-A-method-2-1-2-apigen-have-parallel-64-128-256-lr1e-6,self,N/A,N/A,N/A,N/A,86.35%,77.42%,93.50%,88.00%,86.50%,80.09%,81.78%,79.87%,81.25%,70.83%,21.75%,33.00%,6.50%,19.00%,28.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,62.27%,N/A,N/A,Google,gemma-terms-of-use
130,54.42%,Gemma-4-12B-it(FC) LoRA ckpt240-5epoch-zhtw-v6-10240-no-cot-A-method-2-1-2-apigen-parallel-64-128-256-lr1e-6,self,N/A,N/A,N/A,N/A,86.75%,78.00%,93.50%,88.00%,87.50%,80.24%,82.95%,79.87%,75.00%,70.83%,22.00%,33.50%,7.00%,20.00%,27.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,61.13%,N/A,N/A,Google,gemma-terms-of-use
131,54.42%,Gemma-4-12B-it(FC) LoRA ckpt320-5epoch-zhtw-v6-10240-no-cot-A-method-2-1-2-apigen-parallel-64-128-256-lr1e-6,self,N/A,N/A,N/A,N/A,86.35%,77.42%,93.50%,87.50%,87.00%,79.94%,81.78%,79.68%,81.25%,70.83%,22.12%,34.50%,7.50%,18.00%,28.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,61.57%,N/A,N/A,Google,gemma-terms-of-use
132,54.34%,Gemma-4-12B-it(FC) LoRA ckpt280-5epoch-zhtw-v6-6144-no-cot-A-method-2-1-2-parallel-l20p-64-128-256-lr1e-6,self,N/A,N/A,N/A,N/A,86.40%,77.58%,93.50%,87.50%,87.00%,80.38%,83.72%,79.68%,81.25%,75.00%,22.12%,34.00%,8.00%,18.50%,28.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,60.66%,N/A,N/A,Google,gemma-terms-of-use
133,54.30%,Gemma-4-12B-it(FC) LoRA ckpt440-5epoch-zhtw-v6-6144-no-cot-A-method-2-1-2-parallel-l20p-64-128-256-lr1e-6,self,N/A,N/A,N/A,N/A,85.88%,76.50%,93.50%,87.00%,86.50%,80.31%,82.56%,79.96%,81.25%,70.83%,22.38%,33.00%,7.50%,21.00%,28.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,60.55%,N/A,N/A,Google,gemma-terms-of-use
134,54.21%,Gemma-4-12B-it(FC) LoRA ckpt400-5epoch-zhtw-v6-10240-no-cot-A-method-2-1-2-apigen-parallel-64-128-256-lr1e-6,self,N/A,N/A,N/A,N/A,85.98%,77.42%,93.50%,87.00%,86.00%,79.72%,81.01%,79.58%,81.25%,70.83%,21.38%,31.50%,6.50%,18.00%,29.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,93.75%,62.61%,N/A,N/A,Google,gemma-terms-of-use
135,54.21%,Gemma-4-12B-it(FC) LoRA ckpt360-5epoch-zhtw-v6-6144-no-cot-A-method-2-1-2-apigen-have-paraell500-64-128-256-lr1e-6,self,N/A,N/A,N/A,N/A,84.92%,77.17%,93.50%,83.50%,85.50%,80.16%,82.95%,79.77%,81.25%,66.67%,22.62%,35.00%,8.00%,19.50%,28.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,60.70%,N/A,N/A,Google,gemma-terms-of-use
136,54.14%,Gemma-4-12B-it(FC) LoRA ckpt400-5epoch-zhtw-v6-6144-no-cot-A-method-2-1-2-parallel-l20p-64-128-256-lr1e-6,self,N/A,N/A,N/A,N/A,85.90%,76.58%,93.50%,86.50%,87.00%,79.72%,81.78%,79.49%,81.25%,66.67%,22.12%,35.50%,7.00%,18.50%,27.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,60.84%,N/A,N/A,Google,gemma-terms-of-use
137,54.10%,Gemma-4-12B-it(FC) LoRA ckpt240-5epoch-zhtw-v6-6144-no-cot-A-method-2-1-2-apigen-have-paraell500-64-128-256-lr1e-6,self,N/A,N/A,N/A,N/A,85.54%,77.67%,93.50%,85.50%,85.50%,80.09%,82.56%,79.77%,81.25%,66.67%,22.62%,35.00%,8.00%,19.00%,28.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,93.75%,59.64%,N/A,N/A,Google,gemma-terms-of-use
138,54.05%,Gemma-4-12B-it(FC) LoRA ckpt620-5epoch-zhtw-v6-6144-no-cot-A-method-2-1-2-parallel-l20p-64-128-256-lr1e-6,self,N/A,N/A,N/A,N/A,86.04%,76.67%,93.50%,87.50%,86.50%,80.09%,81.78%,79.87%,81.25%,70.83%,21.50%,34.00%,5.00%,19.00%,28.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,61.14%,N/A,N/A,Google,gemma-terms-of-use
139,54.00%,Gemma-4-12B-it(FC) LoRA ckpt480-5epoch-zhtw-v6-6144-no-cot-A-method-2-1-2-parallel-l20p-64-128-256-lr1e-6,self,N/A,N/A,N/A,N/A,85.90%,76.58%,93.50%,86.50%,87.00%,80.16%,82.56%,79.87%,75.00%,70.83%,21.75%,31.50%,7.50%,19.00%,29.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,60.46%,N/A,N/A,Google,gemma-terms-of-use
140,54.00%,Gemma-4-12B-it(FC) LoRA ckpt560-5epoch-zhtw-v6-6144-no-cot-A-method-2-1-2-parallel-l20p-64-128-256-lr1e-6,self,N/A,N/A,N/A,N/A,86.23%,77.42%,93.50%,87.50%,86.50%,80.31%,82.17%,80.06%,81.25%,70.83%,21.62%,33.50%,6.50%,19.50%,27.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,93.75%,60.19%,N/A,N/A,Google,gemma-terms-of-use
141,53.98%,Gemma-4-12B-it(FC) LoRA ckpt360-5epoch-zhtw-v6-10240-no-cot-A-method-2-1-2-apigen-parallel-64-128-256-lr1e-6,self,N/A,N/A,N/A,N/A,86.50%,78.00%,93.50%,88.00%,86.50%,79.79%,81.78%,79.49%,81.25%,70.83%,21.25%,32.50%,6.00%,20.00%,26.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,93.75%,61.10%,N/A,N/A,Google,gemma-terms-of-use
142,53.94%,Gemma-4-12B-it(FC) LoRA ckpt520-5epoch-zhtw-v6-6144-no-cot-A-method-2-1-2-parallel-l20p-64-128-256-lr1e-6,self,N/A,N/A,N/A,N/A,85.96%,77.33%,93.50%,86.50%,86.50%,80.38%,83.33%,80.06%,75.00%,66.67%,21.63%,33.00%,7.50%,18.50%,27.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,93.75%,60.12%,N/A,N/A,Google,gemma-terms-of-use
143,53.94%,Gemma-4-12B-it(FC) LoRA ckpt320-5epoch-zhtw-v6-6144-no-cot-A-method-2-1-2-apigen-have-paraell500-64-128-256-lr1e-6,self,N/A,N/A,N/A,N/A,85.12%,76.50%,93.50%,84.50%,86.00%,80.16%,82.56%,79.87%,81.25%,66.67%,21.50%,33.50%,7.50%,17.50%,27.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,93.75%,61.40%,N/A,N/A,Google,gemma-terms-of-use
144,53.94%,Gemma-4-12B-it(FC) LoRA ckpt440-5epoch-zhtw-v6-6144-no-cot-A-method-2-1-2-apigen-have-paraell500-64-128-256-lr1e-6,self,N/A,N/A,N/A,N/A,83.81%,77.25%,93.50%,80.50%,84.00%,79.94%,82.56%,79.68%,75.00%,66.67%,22.50%,33.00%,8.00%,21.00%,28.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,60.93%,N/A,N/A,Google,gemma-terms-of-use
145,53.93%,Gemma-4-12B-it(FC) LoRA ckpt480-5epoch-zhtw-v6-6144-no-cot-A-method-2-1-2-apigen-have-paraell500-64-128-256-lr1e-6,self,N/A,N/A,N/A,N/A,83.69%,77.25%,93.50%,79.50%,84.50%,80.09%,81.78%,80.06%,75.00%,66.67%,22.25%,34.50%,7.00%,19.50%,28.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,93.75%,61.37%,N/A,N/A,Google,gemma-terms-of-use
146,53.92%,Gemma-4-12B-it(FC) LoRA ckpt240-5epoch-zhtw-v6-6144-no-cot-A-method-2-1-2-parallel-l20p-64-128-256-lr1e-6,self,N/A,N/A,N/A,N/A,86.33%,78.33%,93.50%,87.00%,86.50%,80.46%,83.33%,80.06%,81.25%,66.67%,21.50%,33.50%,7.00%,18.50%,27.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,59.83%,N/A,N/A,Google,gemma-terms-of-use
147,53.80%,Gemma-4-12B-it(FC) LoRA ckpt240-5epoch-zhtw-v6-6144-no-cot-A-method-2-1-2-apigen-have-parallel-64-128-256-lr1e-6,self,N/A,N/A,N/A,N/A,87.08%,79.33%,93.50%,88.50%,87.00%,80.01%,82.95%,79.49%,75.00%,75.00%,20.50%,31.50%,7.50%,16.50%,26.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,60.93%,N/A,N/A,Google,gemma-terms-of-use
148,53.77%,Gemma-4-12B-it(FC) LoRA ckpt400-5epoch-zhtw-v6-6144-no-cot-A-method-2-1-2-apigen-have-paraell500-64-128-256-lr1e-6,self,N/A,N/A,N/A,N/A,84.29%,77.17%,93.50%,81.50%,85.00%,80.38%,83.33%,80.06%,75.00%,66.67%,22.00%,34.50%,6.50%,20.00%,27.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,60.16%,N/A,N/A,Google,gemma-terms-of-use
149,53.76%,Gemma-4-12B-it(FC) LoRA ckpt280-5epoch-zhtw-v6-6144-no-cot-A-method-2-1-2-apigen-have-paraell500-64-128-256-lr1e-6,self,N/A,N/A,N/A,N/A,85.67%,77.67%,93.50%,85.50%,86.00%,80.38%,82.56%,80.15%,81.25%,66.67%,21.75%,32.00%,8.50%,19.50%,27.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,59.23%,N/A,N/A,Google,gemma-terms-of-use
150,53.74%,Gemma-4-12B-it(FC) LoRA ckpt200-5epoch-zhtw-v6-10240-no-cot-A-method-2-1-2-apigen-parallel-64-128-256-lr1e-6,self,N/A,N/A,N/A,N/A,86.54%,78.67%,93.50%,87.50%,86.50%,80.01%,82.95%,79.49%,81.25%,70.83%,21.63%,33.00%,8.50%,18.50%,26.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,58.88%,N/A,N/A,Google,gemma-terms-of-use
151,53.67%,Gemma-4-12B-it(FC) LoRA ckpt520-5epoch-zhtw-v6-6144-no-cot-A-method-2-1-2-apigen-have-paraell500-64-128-256-lr1e-6,self,N/A,N/A,N/A,N/A,83.38%,76.50%,93.50%,79.50%,84.00%,80.09%,82.56%,79.87%,75.00%,66.67%,22.00%,35.00%,5.00%,20.50%,27.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,60.89%,N/A,N/A,Google,gemma-terms-of-use
152,53.55%,Gemma-4-12B-it(FC) LoRA ckpt320-5epoch-zhtw-v6-6144-no-cot-A-method-2-1-2-llamafactory-oringal-train-64-128-256-lr1e-6,self,N/A,N/A,N/A,N/A,85.37%,79.50%,93.50%,82.50%,86.00%,81.05%,83.33%,80.91%,81.25%,62.50%,21.75%,34.50%,10.00%,16.00%,26.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,57.85%,N/A,N/A,Google,gemma-terms-of-use
153,53.54%,Gemma-4-12B-it(FC) LoRA ckpt200-5epoch-zhtw-v6-6144-no-cot-A-method-2-1-2-apigen-have-parallel-64-128-256-lr1e-6,self,N/A,N/A,N/A,N/A,86.96%,79.33%,94.00%,88.00%,86.50%,80.16%,82.95%,79.68%,81.25%,70.83%,21.00%,33.00%,8.50%,17.00%,25.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,93.75%,58.60%,N/A,N/A,Google,gemma-terms-of-use
154,53.43%,Gemma-4-12B-it(FC) LoRA ckpt560-5epoch-zhtw-v6-6144-no-cot-A-method-2-1-2-apigen-have-paraell500-64-128-256-lr1e-6,self,N/A,N/A,N/A,N/A,83.90%,76.58%,93.50%,80.00%,85.50%,79.87%,82.95%,79.49%,75.00%,66.67%,21.63%,32.50%,6.50%,20.00%,27.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,60.16%,N/A,N/A,Google,gemma-terms-of-use
155,53.36%,Gemma-4-12B-it(FC) LoRA ckpt280-5epoch-zhtw-v6-6144-no-cot-A-method-2-1-2-llamafactory-oringal-train-64-128-256-lr1e-6,self,N/A,N/A,N/A,N/A,85.29%,79.17%,93.50%,83.00%,85.50%,80.75%,83.33%,80.53%,81.25%,62.50%,21.13%,32.00%,9.50%,15.50%,27.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,93.75%,58.49%,N/A,N/A,Google,gemma-terms-of-use
156,53.35%,Gemma-4-12B-it(FC) LoRA ckpt370-5epoch-zhtw-v6-6144-no-cot-A-method-2-1-2-llamafactory-oringal-train-64-128-256-lr1e-6,self,N/A,N/A,N/A,N/A,85.25%,79.50%,93.50%,82.50%,85.50%,80.90%,83.72%,80.63%,81.25%,62.50%,21.38%,33.50%,10.50%,15.00%,26.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,57.87%,N/A,N/A,Google,gemma-terms-of-use
157,53.26%,Gemma-4-12B-it(FC) LoRA ckpt360-5epoch-zhtw-v6-6144-no-cot-A-method-2-1-2-llamafactory-oringal-train-64-128-256-lr1e-6,self,N/A,N/A,N/A,N/A,85.10%,79.42%,93.50%,82.50%,85.00%,80.68%,82.95%,80.53%,81.25%,62.50%,21.62%,34.50%,8.50%,16.50%,27.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,57.28%,N/A,N/A,Google,gemma-terms-of-use
158,53.25%,Gemma-4-12B-it(FC) LoRA ckpt200-5epoch-zhtw-v6-6144-no-cot-A-method-2-1-2-64-128-256-lr1e-6,self,N/A,N/A,N/A,N/A,85.67%,77.67%,93.50%,86.00%,85.50%,80.46%,84.11%,79.87%,81.25%,66.67%,21.00%,32.50%,9.50%,16.50%,25.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,93.75%,58.13%,N/A,N/A,Google,gemma-terms-of-use
159,53.16%,Gemma-4-12B-it(FC) LoRA ckpt240-5epoch-zhtw-v6-6144-no-cot-A-method-2-1-2-llamafactory-oringal-train-64-128-256-lr1e-6,self,N/A,N/A,N/A,N/A,85.27%,79.08%,93.50%,83.50%,85.00%,80.90%,83.33%,80.72%,81.25%,62.50%,21.25%,32.00%,10.50%,15.50%,27.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,57.11%,N/A,N/A,Google,gemma-terms-of-use
160,53.01%,Gemma-4-12B-it(FC) LoRA ckpt200-5epoch-zhtw-v6-6144-no-cot-A-method-2-1-2-parallel-l20p-64-128-256-lr1e-6,self,N/A,N/A,N/A,N/A,86.15%,77.58%,93.50%,88.00%,85.50%,80.16%,82.95%,79.77%,81.25%,66.67%,21.00%,32.50%,9.50%,16.50%,25.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,93.75%,56.75%,N/A,N/A,Google,gemma-terms-of-use
161,52.96%,Gemma-4-12B-it(FC) LoRA ckpt440-5epoch-zhtw-6144-no-cot-data-oringal-64-128-256-lr1e-6,self,7.03,3.26,12.26,7.95,83.73%,77.92%,93.50%,79.50%,84.00%,80.75%,83.33%,80.44%,81.25%,66.67%,22.25%,33.50%,6.50%,20.00%,29.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100.00%,55.79%,N/A,N/A,Google,gemma-terms-of-use
162,52.84%,Gemma-4-12B-it(FC) LoRA ckpt200-5epoch-zhtw-v6-6144-no-cot-A-method-2-1-2-llamafactory-oringal-train-64-128-256-lr1e-6,self,N/A,N/A,N/A,N/A,85.56%,77.75%,93.50%,85.50%,85.50%,80.90%,82.95%,80.82%,81.25%,62.50%,21.00%,33.00%,11.00%,14.00%,26.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,55.75%,N/A,N/A,Google,gemma-terms-of-use
163,52.79%,Gemma-4-12B-it(FC) LoRA ckpt480-5epoch-zhtw-6144-no-cot-data-oringal-64-128-256-lr1e-6,self,7.65,3.55,13.04,9.45,83.94%,77.75%,93.50%,80.00%,84.50%,80.53%,82.95%,80.25%,81.25%,66.67%,22.25%,35.00%,8.50%,18.00%,27.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,93.75%,54.96%,N/A,N/A,Google,gemma-terms-of-use
164,52.71%,Gemma-4-12B-it(FC) LoRA ckpt240-5epoch-zhtw-v6-6144-no-cot-data-oringal-llamafactory-oringal-train-64-128-256-lr1e-6,self,N/A,N/A,N/A,N/A,85.81%,79.75%,93.50%,85.50%,84.50%,80.68%,82.17%,80.72%,81.25%,62.50%,21.13%,33.00%,8.50%,16.00%,27.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,93.75%,54.80%,N/A,N/A,Google,gemma-terms-of-use
165,52.62%,Gemma-4-12B-it(FC) LoRA ckpt400-5epoch-zhtw-6144-no-cot-data-oringal-64-128-256-lr1e-6,self,N/A,N/A,N/A,N/A,83.94%,77.75%,93.50%,80.00%,84.50%,80.53%,83.72%,80.15%,75.00%,66.67%,22.12%,33.00%,8.50%,18.00%,29.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,93.75%,54.37%,N/A,N/A,Google,gemma-terms-of-use
166,52.61%,Gemma-4-12B-it(FC) LoRA ckpt200-5epoch-zhtw-v6-6144-no-cot-A-method-2-1-2-apigen-have-paraell500-64-128-256-lr1e-6,self,N/A,N/A,N/A,N/A,85.40%,77.58%,93.50%,85.00%,85.50%,80.31%,82.95%,79.96%,81.25%,66.67%,20.25%,30.50%,9.00%,17.00%,24.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,93.75%,56.86%,N/A,N/A,Google,gemma-terms-of-use
167,52.61%,Gemma-4-12B-it(FC) LoRA ckpt160-5epoch-zhtw-v6-10240-no-cot-A-method-2-1-2-apigen-parallel-64-128-256-lr1e-6,self,N/A,N/A,N/A,N/A,86.27%,78.58%,93.50%,87.50%,85.50%,79.94%,83.72%,79.30%,81.25%,66.67%,21.62%,34.50%,9.50%,17.00%,25.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,93.75%,53.57%,N/A,N/A,Google,gemma-terms-of-use
168,52.56%,Gemma-4-12B-it(FC) LoRA ckpt545-5epoch-zhtw-6144-no-cot-data-oringal-64-128-256-lr1e-6,self,8.27,3.84,15.2,9.08,84.19%,77.75%,93.50%,81.00%,84.50%,80.75%,83.72%,80.34%,81.25%,66.67%,21.13%,32.50%,8.50%,16.00%,27.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,55.58%,N/A,N/A,Google,gemma-terms-of-use
169,52.53%,Gemma-4-12B-it(FC) LoRA ckpt280-5epoch-zhtw-v6-6144-no-cot-data-oringal-llamafactory-oringal-train-64-128-256-lr1e-6,self,N/A,N/A,N/A,N/A,86.10%,79.42%,93.50%,86.50%,85.00%,80.53%,82.17%,80.53%,81.25%,62.50%,20.38%,31.50%,9.00%,14.50%,26.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,93.75%,55.24%,N/A,N/A,Google,gemma-terms-of-use
170,52.41%,Gemma-4-12B-it(FC) LoRA ckpt295-5epoch-zhtw-v6-6144-no-cot-data-oringal-llamafactory-oringal-train-64-128-256-lr1e-6,self,N/A,N/A,N/A,N/A,85.90%,79.08%,93.50%,86.00%,85.00%,80.46%,82.17%,80.44%,81.25%,62.50%,20.50%,33.00%,9.50%,13.50%,26.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100.00%,54.71%,N/A,N/A,Google,gemma-terms-of-use
171,52.21%,Gemma-4-12B-it(FC) LoRA ckpt360-5epoch-zhtw-6144-no-cot-data-oringal-64-128-256-lr1e-6,self,N/A,N/A,N/A,N/A,84.83%,77.83%,93.50%,82.50%,85.50%,80.53%,84.11%,79.96%,81.25%,66.67%,21.25%,31.00%,7.50%,17.00%,29.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,93.75%,53.18%,N/A,N/A,Google,gemma-terms-of-use
172,52.16%,Gemma-4-12B-it(FC) LoRA ckpt320-5epoch-zhtw-6144-no-cot-data-oringal-64-128-256-lr1e-6,self,N/A,N/A,N/A,N/A,85.19%,77.75%,93.50%,84.00%,85.50%,80.53%,82.95%,80.25%,81.25%,66.67%,20.62%,32.50%,7.50%,15.50%,27.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,93.75%,53.84%,N/A,N/A,Google,gemma-terms-of-use
173,52.15%,Gemma-4-12B-it(FC) LoRA ckpt160-5epoch-zhtw-v6-6144-no-cot-data-oringal-llamafactory-oringal-train-64-128-256-lr1e-6,self,N/A,N/A,N/A,N/A,85.71%,78.33%,93.50%,86.00%,85.00%,80.46%,82.17%,80.44%,81.25%,62.50%,20.75%,32.50%,8.50%,13.50%,28.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,93.75%,53.10%,N/A,N/A,Google,gemma-terms-of-use
174,52.10%,Gemma-4-12B-it(FC) LoRA ckpt200-5epoch-zhtw-v6-6144-no-cot-data-oringal-llamafactory-oringal-train-64-128-256-lr1e-6,self,N/A,N/A,N/A,N/A,85.90%,79.08%,93.50%,86.00%,85.00%,80.46%,82.95%,80.25%,81.25%,62.50%,20.12%,31.50%,8.50%,14.00%,26.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,93.75%,53.90%,N/A,N/A,Google,gemma-terms-of-use
175,52.06%,Gemma-4-12B-it(FC) LoRA ckpt280-5epoch-zhtw-6144-no-cot-data-oringal-64-128-256-lr1e-6,self,N/A,N/A,N/A,N/A,85.54%,77.67%,93.50%,85.00%,86.00%,80.53%,83.33%,80.15%,81.25%,66.67%,21.38%,32.50%,9.50%,16.50%,27.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,93.75%,51.50%,N/A,N/A,Google,gemma-terms-of-use
176,52.05%,Gemma-4-12B-it(FC) LoRA ckpt240-5epoch-zhtw-6144-no-cot-data-oringal-64-128-256-lr1e-6,self,N/A,N/A,N/A,N/A,85.92%,77.67%,93.50%,86.00%,86.50%,80.38%,83.33%,79.96%,81.25%,66.67%,21.50%,33.50%,12.00%,14.00%,26.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,93.75%,50.95%,N/A,N/A,Google,gemma-terms-of-use
177,52.03%,Gemma-4-12B-it(FC) LoRA ckpt160-5epoch-zhtw-v6-6144-no-cot-A-method-2-1-2-64-128-256-lr1e-6,self,N/A,N/A,N/A,N/A,85.48%,76.92%,93.50%,86.00%,85.50%,80.01%,82.95%,79.68%,81.25%,62.50%,21.00%,33.50%,8.50%,17.00%,25.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,93.75%,52.66%,N/A,N/A,Google,gemma-terms-of-use
178,52.01%,Gemma-4-12B-it(FC) LoRA ckpt160-5epoch-zhtw-v6-6144-no-cot-A-method-2-1-2-apigen-have-parallel-64-128-256-lr1e-6,self,N/A,N/A,N/A,N/A,86.44%,78.25%,93.50%,88.00%,86.00%,79.94%,82.56%,79.58%,81.25%,66.67%,20.88%,33.00%,8.00%,16.50%,26.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,93.75%,51.90%,N/A,N/A,Google,gemma-terms-of-use
179,51.69%,Gemma-4-12B-it(FC) LoRA ckpt160-5epoch-zhtw-v6-6144-no-cot-A-method-2-1-2-parallel-l20p-64-128-256-lr1e-6,self,N/A,N/A,N/A,N/A,85.90%,77.58%,93.50%,86.50%,86.00%,80.01%,81.78%,79.96%,81.25%,62.50%,21.38%,33.00%,9.00%,17.50%,26.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,49.81%,N/A,N/A,Google,gemma-terms-of-use
180,51.40%,Gemma-4-12B-it(FC) LoRA ckpt320-5epoch-zhtw-v6-6144-no-cot-A-method-2-1-2-64-128-256-lr5e-7,self,N/A,N/A,N/A,N/A,85.52%,77.58%,93.50%,86.00%,85.00%,79.87%,83.33%,79.39%,81.25%,62.50%,20.75%,33.00%,8.50%,16.50%,25.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,50.11%,N/A,N/A,Google,gemma-terms-of-use
181,51.36%,Gemma-4-12B-it(FC) LoRA ckpt200-5epoch-zhtw-6144-no-cot-data-oringal-64-128-256-lr1e-6,self,N/A,N/A,N/A,N/A,85.60%,76.92%,93.50%,86.50%,85.50%,80.31%,82.95%,79.96%,81.25%,66.67%,21.00%,33.00%,9.50%,15.50%,26.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,93.75%,48.89%,N/A,N/A,Google,gemma-terms-of-use
182,51.35%,Gemma-4-12B-it(FC) LoRA ckpt160-5epoch-zhtw-v6-6144-no-cot-A-method-2-1-2-llamafactory-oringal-train-64-128-256-lr1e-6,self,N/A,N/A,N/A,N/A,85.83%,78.33%,93.50%,86.00%,85.50%,80.38%,82.95%,80.15%,81.25%,62.50%,19.50%,30.50%,8.00%,13.50%,26.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,51.51%,N/A,N/A,Google,gemma-terms-of-use
